time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot
2026-03-31T16:40:00-04:00,23929,23929,23906.75,23909.75,,23929,23906.75,23909.75,24997.7775
2026-03-31T16:45:00-04:00,23909.25,23917.25,23906.25,23913.25,,23917.25,23906.25,23913.25,24997.7775
2026-03-31T16:50:00-04:00,23912.25,23912.75,23903,23907.25,,23912.75,23903,23907.25,24997.7775
2026-03-31T16:55:00-04:00,23907.75,23908.75,23894.5,23905.5,,23908.75,23894.5,23905.5,25003.15625
2026-03-31T18:00:00-04:00,23889,23946.5,23880,23918.75,,23946.5,23880,23918.75,25003.15625
2026-03-31T18:05:00-04:00,23919.5,23936.25,23912.5,23914.5,,23936.25,23912.5,23914.5,25003.15625
2026-03-31T18:10:00-04:00,23915.5,23969,23907.75,23962.5,,23969,23907.75,23962.5,25003.15625
2026-03-31T18:15:00-04:00,23962.5,23968,23950.5,23954.75,,23968,23950.5,23954.75,25003.15625
2026-03-31T18:20:00-04:00,23955.25,23974,23933.5,23959,,23974,23933.5,23959,25003.15625
2026-03-31T18:25:00-04:00,23958,23968,23949,23958.5,,23968,23949,23958.5,25003.15625
2026-03-31T18:30:00-04:00,23959.25,23962,23941.5,23943.25,,23962,23941.5,23943.25,25003.15625
2026-03-31T18:35:00-04:00,23943,23958.5,23938.25,23955.75,,23958.5,23938.25,23955.75,25003.15625
2026-03-31T18:40:00-04:00,23955,23973.5,23955,23961.5,,23973.5,23955,23961.5,25003.15625
2026-03-31T18:45:00-04:00,23962,23965,23946,23954.75,,23965,23946,23954.75,25003.15625
2026-03-31T18:50:00-04:00,23954.5,23957.5,23946.75,23952,,23957.5,23946.75,23952,25003.15625
2026-03-31T18:55:00-04:00,23952.75,23959.25,23950,23958,,23959.25,23950,23958,25003.15625
2026-03-31T19:00:00-04:00,23957,23961.75,23943,23953,,23961.75,23943,23953,25003.15625
2026-03-31T19:05:00-04:00,23953,23963.5,23949.25,23949.75,,23963.5,23949.25,23949.75,25003.15625
2026-03-31T19:10:00-04:00,23950.75,23958.75,23946.25,23954.25,,23958.75,23946.25,23954.25,25003.15625
2026-03-31T19:15:00-04:00,23954.75,23969.5,23948.25,23965.25,,23969.5,23948.25,23965.25,25003.15625
2026-03-31T19:20:00-04:00,23965.5,23968.5,23954.5,23968,,23968.5,23954.5,23968,25003.15625
2026-03-31T19:25:00-04:00,23967.75,23984.5,23962.75,23980.5,,23984.5,23962.75,23980.5,25003.15625
2026-03-31T19:30:00-04:00,23977,23997,23973.75,23996,,23997,23973.75,23996,25003.15625
2026-03-31T19:35:00-04:00,23996.25,24020,23993.75,24010.25,,24020,23993.75,24010.25,25003.15625
2026-03-31T19:40:00-04:00,24010,24010,23984.25,23987,,24010,23984.25,23987,25003.15625
2026-03-31T19:45:00-04:00,23987,23996.5,23981.75,23995.5,,23996.5,23981.75,23995.5,25003.15625
2026-03-31T19:50:00-04:00,23994.75,24024.75,23993.5,24013.25,,24024.75,23993.5,24013.25,25003.15625
2026-03-31T19:55:00-04:00,24014.75,24045.75,24007.25,24038,,24045.75,24007.25,24038,25003.15625
2026-03-31T20:00:00-04:00,24036.25,24048.25,24020,24047,,24048.25,24020,24047,25003.15625
2026-03-31T20:05:00-04:00,24046.25,24046.25,24021.75,24032.75,,24046.25,24021.75,24032.75,25003.15625
2026-03-31T20:10:00-04:00,24031,24038.25,24020.75,24034.5,,24038.25,24020.75,24034.5,25003.15625
2026-03-31T20:15:00-04:00,24035,24037,24013.25,24025.25,,24037,24013.25,24025.25,25003.15625
2026-03-31T20:20:00-04:00,24024.75,24032,24005.25,24027,,24032,24005.25,24027,25003.15625
2026-03-31T20:25:00-04:00,24027,24030.5,24013,24022.25,,24030.5,24013,24022.25,25003.15625
2026-03-31T20:30:00-04:00,24022,24024.5,23992.25,24002.25,,24024.5,23992.25,24002.25,25003.15625
2026-03-31T20:35:00-04:00,24003.25,24013.5,24000.5,24006,,24013.5,24000.5,24006,25003.15625
2026-03-31T20:40:00-04:00,24007,24025.5,24007,24021.5,,24025.5,24007,24021.5,25003.15625
2026-03-31T20:45:00-04:00,24020,24021,24011.5,24017.5,,24021,24011.5,24017.5,25003.15625
2026-03-31T20:50:00-04:00,24017.5,24031,24016.5,24021.5,,24031,24016.5,24021.5,25003.15625
2026-03-31T20:55:00-04:00,24023,24036.25,24016.75,24036.25,,24036.25,24016.75,24036.25,25003.15625
2026-03-31T21:00:00-04:00,24037,24042.25,24004.75,24007.5,,24042.25,24004.75,24007.5,25003.15625
2026-03-31T21:05:00-04:00,24008,24008.75,23975,23996.5,,24008.75,23975,23996.5,25003.15625
